City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Riohacha,CO,11.5444,-72.9072,85.66,60,81,17.09,broken clouds
144,Tokonou,GN,9.65,-9.7833,86.79,22,65,1.66,broken clouds
145,Upernavik,GL,72.7868,-56.1549,-10.89,97,62,8.88,broken clouds
146,Atikokan,CA,48.7555,-91.6216,20.93,78,100,9.46,overcast clouds
147,Galle,LK,6.0367,80.217,79.48,78,100,1.63,overcast clouds
148,Nikolskoye,RU,59.7035,30.7861,29.8,99,90,2.77,overcast clouds
149,Vao,NC,-22.6667,167.4833,79.45,80,26,17.49,scattered clouds
150,Akhtanizovskaya,RU,45.32,37.1,25.27,58,21,7.83,few clouds
151,Dumbrava,RO,44.8833,26.1833,38.8,87,97,6.26,overcast clouds
152,Nyrob,RU,60.733,56.7202,16.39,94,100,6.96,overcast clouds
153,Fare,PF,-16.7,-151.0167,81.21,72,92,7.34,overcast clouds
154,Victoria,HK,22.2855,114.1577,72.32,90,37,5.01,scattered clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,0,12.66,clear sky
156,Eenhana,NA,-17.4667,16.3333,66.13,96,100,3.33,light rain
157,Constitucion,CL,-35.3333,-72.4167,70.52,60,10,8.79,clear sky
158,Ixtapa,MX,20.7,-105.2,76.23,65,0,10.36,clear sky
159,Cayenne,GF,4.9333,-52.3333,75.24,1,100,4.61,overcast clouds
160,Tilichiki,RU,60.4667,166.1,-2.6,87,5,8.14,clear sky
161,Puro,PH,12.4841,123.3827,78.19,88,62,8.12,broken clouds
162,Namibe,AO,-15.1961,12.1522,73.49,74,100,7.47,overcast clouds
163,Paka,MY,4.6374,103.4368,77.13,91,100,0.81,overcast clouds
164,Ilo,PE,-17.6394,-71.3375,73.44,74,20,8.03,few clouds
165,Gua Musang,MY,4.8823,101.9644,73.2,99,62,0.72,broken clouds
166,Kastamonu,TR,41.5,33.6667,18.27,91,38,2.93,scattered clouds
167,Sao Filipe,CV,14.8961,-24.4956,73.22,66,5,13.31,clear sky
168,Sal Rei,CV,16.1833,-22.9167,70.11,76,0,23.04,clear sky
169,Tokat,TR,40.4167,36.5833,13.87,95,100,5.08,light snow
170,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.09,98,100,3.24,overcast clouds
171,Korla,CN,41.7597,86.1469,53.94,31,77,7.05,broken clouds
172,Quelimane,MZ,-17.8786,36.8883,73.56,97,100,5.95,light rain
173,Severo-Kurilsk,RU,50.6789,156.125,28.44,87,100,5.77,overcast clouds
174,Chokurdakh,RU,70.6333,147.9167,-10.62,92,100,4.79,overcast clouds
175,Port Elizabeth,ZA,-33.918,25.5701,64.09,91,100,12.1,light rain
176,Ilulissat,GL,69.2167,-51.1,3.22,60,100,8.05,overcast clouds
177,Sebastian,US,35.1668,-94.2669,64.9,30,0,11.01,clear sky
178,Kut Chap,TH,17.4257,102.5669,85.01,41,100,3.51,overcast clouds
179,Balsas,BR,-7.5325,-46.0356,83.64,73,87,3.51,overcast clouds
180,Milkovo,RU,54.7167,158.6167,8.98,97,98,2.64,overcast clouds
181,San Carlos De Bariloche,AR,-41.1456,-71.3082,73.89,22,99,8.08,overcast clouds
182,Palmerston,AU,-12.486,130.9833,76.98,97,75,5.75,broken clouds
183,Coihueco,CL,-36.6167,-71.8333,90.34,19,0,14.97,clear sky
184,Krasnobrodskiy,RU,54.1581,86.4486,-10.14,98,68,4.47,broken clouds
185,Lindi,TZ,-10.0,39.7167,75.11,93,89,1.14,overcast clouds
186,Narsaq,GL,60.9167,-46.05,28.62,51,100,30.42,light snow
187,Inhambane,MZ,-23.865,35.3833,77.18,85,0,7.14,clear sky
188,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,100,15.46,light rain
189,Manado,ID,1.487,124.8455,75.97,100,40,2.3,light rain
190,Yar-Sale,RU,66.8333,70.8333,-1.26,100,99,5.82,overcast clouds
191,Inirida,CO,3.8653,-67.9239,76.93,91,100,1.36,overcast clouds
192,Cassilandia,BR,-19.1133,-51.7342,82.49,61,68,4.23,broken clouds
193,Breves,BR,-1.6822,-50.4803,81.01,84,79,5.48,broken clouds
194,Gimli,CA,50.6336,-96.9907,16.38,75,99,6.2,overcast clouds
195,Whitehorse,CA,60.7161,-135.0538,5.09,65,100,8.99,overcast clouds
196,Chilca,PE,-12.5211,-76.7372,74.37,75,100,7.11,overcast clouds
197,Pakhtakoron,TJ,40.1571,68.7466,51.94,83,100,4.9,light rain
198,Vila Velha,BR,-20.3297,-40.2925,84.15,77,40,13.8,scattered clouds
199,Zhicheng,CN,30.2956,111.5047,68.5,87,46,4.21,scattered clouds
200,Mehamn,NO,71.0357,27.8492,33.71,86,100,12.12,overcast clouds
201,New Norfolk,AU,-42.7826,147.0587,62.1,67,100,1.99,overcast clouds
202,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,20,6.71,few clouds
203,Oussouye,SN,12.485,-16.5469,73.78,61,31,7.85,scattered clouds
204,Sivaki,RU,52.6333,126.75,0.09,95,35,2.46,scattered clouds
205,Canavieiras,BR,-15.675,-38.9472,81.97,71,57,7.96,broken clouds
206,Cowra,AU,-33.8333,148.6833,59.83,84,3,3.31,clear sky
207,Bend,US,44.0582,-121.3153,45.72,71,40,16.11,scattered clouds
208,Bethel,US,41.3712,-73.414,36.19,45,0,13.8,light rain
209,Erzin,TR,36.9559,36.2,34.29,82,49,2.59,scattered clouds
210,San Pedro De Macoris,DO,18.4616,-69.2972,88.41,58,95,11.16,overcast clouds
211,Hailar,CN,49.2,119.7,8.69,93,100,3.0,snow
212,Bilibino,RU,68.0546,166.4372,-16.2,95,100,3.27,overcast clouds
213,Bathsheba,BB,13.2167,-59.5167,83.01,61,20,20.71,few clouds
214,Tabas,IR,33.5959,56.9244,73.89,33,100,10.0,overcast clouds
215,Pasighat,IN,28.0667,95.3333,70.93,40,14,3.83,few clouds
216,Morgan City,US,29.6994,-91.2068,60.01,47,0,10.36,clear sky
217,Port Augusta,AU,-32.5,137.7667,75.49,27,100,6.96,overcast clouds
218,Tabuk,PH,17.4189,121.4443,71.2,94,22,2.73,few clouds
219,Okhotsk,RU,59.3833,143.3,17.44,96,100,3.47,light snow
220,Lorengau,PG,-2.0226,147.2712,81.45,79,25,8.99,scattered clouds
221,Borogontsy,RU,62.6683,131.1683,-11.29,100,100,1.12,overcast clouds
222,Antofagasta,CL,-23.65,-70.4,73.22,58,19,9.31,few clouds
223,Tskaltubo,GE,42.3254,42.5979,32.94,100,75,3.44,light intensity drizzle
224,Castro,BR,-24.7911,-50.0119,66.72,95,100,3.67,overcast clouds
225,Kinablangan,PH,7.6947,126.5503,78.4,87,98,4.94,overcast clouds
226,Sitka,US,57.0531,-135.33,44.49,53,100,12.66,overcast clouds
227,Kyrylivka,UA,46.3759,35.3675,30.99,47,10,4.27,clear sky
228,Rocha,UY,-34.4833,-54.3333,69.28,60,10,11.27,clear sky
229,Talnakh,RU,69.4865,88.3972,-9.8,92,100,6.87,overcast clouds
230,Kaina,NG,12.6374,8.5873,79.18,16,97,7.31,overcast clouds
231,Plettenberg Bay,ZA,-34.0527,23.3716,62.28,89,100,13.2,light rain
232,Belle Fourche,US,44.6714,-103.8522,57.54,36,100,3.78,overcast clouds
233,Sur,OM,22.5667,59.5289,79.66,42,6,10.18,clear sky
234,Macara,EC,-4.3833,-79.95,85.1,58,34,3.89,light rain
235,Arenapolis,BR,-14.4503,-56.8461,82.26,79,92,4.29,overcast clouds
