City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Ulaangom,MN,2022-03-13 02:41:42,49.9811,92.0667,14.92,86,41,2.19
89,Puerto Leguizamo,CO,2022-03-13 02:41:43,-0.1934,-74.7819,73.44,98,100,0.74
90,Jizan,SA,2022-03-13 02:41:43,17.3333,42.6667,79.74,68,10,3.53
91,Kamaishi,JP,2022-03-13 02:41:44,39.2667,141.8833,45.07,68,100,6.78
92,Thompson,CA,2022-03-13 02:41:44,55.7435,-97.8558,5.16,66,40,6.91
93,Atuona,PF,2022-03-13 02:40:26,-9.8,-139.0333,79.0,75,75,14.92
94,Saint-Georges,GD,2022-03-13 02:39:09,12.0564,-61.7485,78.48,73,20,11.5
95,Chuy,UY,2022-03-13 02:41:45,-33.6971,-53.4616,58.26,79,4,4.14
96,Petropavlovsk-Kamchatskiy,RU,2022-03-13 02:41:45,53.0452,158.6483,34.39,44,20,4.47
97,Ancud,CL,2022-03-13 02:41:45,-41.8697,-73.8203,52.39,86,89,2.68
98,Necochea,AR,2022-03-13 02:41:46,-38.5473,-58.7368,58.87,60,6,11.14
99,Kaitangata,NZ,2022-03-13 02:41:46,-46.2817,169.8464,62.87,61,0,8.23
100,Honiara,SB,2022-03-13 02:41:47,-9.4333,159.95,82.09,81,98,4.34
101,Rabo De Peixe,PT,2022-03-13 02:41:47,37.8,-25.5833,54.28,96,20,5.75
102,Khatanga,RU,2022-03-13 02:41:47,71.9667,102.5,-19.62,99,100,9.06
103,Lebu,CL,2022-03-13 02:41:48,-37.6167,-73.65,57.43,93,18,16.51
104,Penzance,GB,2022-03-13 02:41:48,50.1186,-5.5371,48.88,82,100,33.8
105,Bolgar,RU,2022-03-13 02:41:48,54.95,49.0667,-5.19,100,85,3.78
106,Klaksvik,FO,2022-03-13 02:41:49,62.2266,-6.589,41.92,88,85,14.58
107,Matara,LK,2022-03-13 02:41:49,5.9485,80.5353,79.95,80,73,3.24
108,Saldanha,ZA,2022-03-13 02:41:49,-33.0117,17.9442,57.25,85,89,4.85
109,Vila,PT,2022-03-13 02:41:50,42.0304,-8.1588,34.7,93,91,4.85
110,Abnub,EG,2022-03-13 02:41:50,27.2696,31.1511,46.62,43,0,9.46
111,San Quintin,MX,2022-03-13 02:41:51,30.4833,-115.95,58.98,67,2,9.84
112,Provideniya,RU,2022-03-13 02:41:51,64.3833,-173.3,18.82,62,0,10.51
113,East London,ZA,2022-03-13 02:37:00,-33.0153,27.9116,77.97,67,9,8.21
114,Hithadhoo,MV,2022-03-13 02:41:52,-0.6,73.0833,83.07,69,27,7.72
115,Dolgoderevenskoye,RU,2022-03-13 02:41:52,55.3444,61.3444,-12.66,84,0,6.71
116,Yumen,CN,2022-03-13 02:41:52,40.2833,97.2,52.88,22,63,19.8
117,Pangnirtung,CA,2022-03-13 02:41:53,66.1451,-65.7125,-27.89,91,16,6.62
118,Saint-Pierre,RE,2022-03-13 02:41:53,-21.3393,55.4781,74.88,89,75,11.5
119,Corn Island,NI,2022-03-13 02:41:54,12.1694,-83.0418,80.94,76,3,16.75
120,Tarakan,ID,2022-03-13 02:41:54,3.3,117.6333,81.86,75,98,1.79
121,North Bend,US,2022-03-13 02:41:54,43.4065,-124.2243,51.93,94,100,13.8
122,Port Keats,AU,2022-03-13 02:41:55,-14.25,129.55,89.62,62,53,3.69
123,Acari,PE,2022-03-13 02:41:55,-15.4311,-74.6158,73.71,84,42,2.91
124,Sao Joao Da Barra,BR,2022-03-13 02:39:20,-21.6403,-41.0511,77.65,88,6,8.05
125,Khani,GE,2022-03-13 02:41:56,41.9563,42.9566,24.37,81,100,4.12
126,Alice Springs,AU,2022-03-13 02:41:56,-23.7,133.8833,89.15,14,1,9.22
127,Brantford,CA,2022-03-13 02:41:56,43.1334,-80.2664,18.84,82,63,10.0
128,Souillac,MU,2022-03-13 02:41:57,-20.5167,57.5167,79.18,94,75,11.5
129,Biak,ID,2022-03-13 02:41:57,-0.9131,122.8766,84.2,70,71,1.52
130,Morant Bay,JM,2022-03-13 02:41:57,17.8815,-76.4093,80.22,86,13,3.96
